Products,Characteristics,Current Week 02/Jan/2022-08/Jan,Last Week 26/Dec/2021-01/Jan,Change from Last Week
Gasoline (kl),,127826,80724,47102
Naphtha (kl),,0,0,0
Jet (kl),,79223,109418,-30195
Kerosene (kl),,49266,0,49266
Gas Oil(Diesel) (kl),,107327,246598,-139271
LSA (kl),Sul under 0.1%,0,402,-402
HSA (kl),Sul over 0.1%,0,0,0
AFO (kl),,0,402,-402
LSC (kl),Sul under 0.5%,59559,21535,38024
HSC (kl),Sul over 0.5%,44373,53349,-8976
CFO (kl),,103932,74884,29048
Total (kl),,467574,512026,-44452
